Category: All categories

Day,EVERYTHING EVERYWHERE ALL AT ONCE oscar: (Worldwide),ALL QUIET ON THE WESTERN FRONT oscar: (Worldwide),AVATAR  THE WAY OF WATER oscar: (Worldwide),THE BANSHEES OF INISHERIN oscar: (Worldwide),ELVIS oscar: (Worldwide)
2022-12-11,0,0,0,0,0
2022-12-12,0,0,0,0,0
2022-12-13,0,0,0,0,0
2022-12-14,0,0,0,0,0
2022-12-15,0,0,0,0,0
2022-12-16,0,0,0,0,0
2022-12-17,0,0,0,0,0
2022-12-18,0,0,0,0,0
2022-12-19,0,0,0,0,0
2022-12-20,0,0,0,0,2
2022-12-21,0,0,0,2,0
2022-12-22,3,0,0,0,0
2022-12-23,2,0,0,0,3
2022-12-24,3,0,0,0,0
2022-12-25,0,0,0,0,0
2022-12-26,2,0,0,0,0
2022-12-27,2,0,0,0,0
2022-12-28,0,0,0,0,0
2022-12-29,2,0,0,0,0
2022-12-30,3,0,0,0,0
2022-12-31,0,0,0,0,0
2023-01-01,2,0,0,0,0
2023-01-02,4,0,0,0,0
2023-01-03,2,0,0,0,0
2023-01-04,0,0,0,0,0
2023-01-05,0,0,0,0,0
2023-01-06,0,0,0,0,0
2023-01-07,3,0,0,0,2
2023-01-08,4,0,0,0,0
2023-01-09,0,0,0,2,0
2023-01-10,2,0,0,0,0
2023-01-11,7,0,0,2,4
2023-01-12,7,0,0,3,3
2023-01-13,3,0,0,0,5
2023-01-14,4,0,0,0,3
2023-01-15,3,0,0,3,4
2023-01-16,4,0,0,0,2
2023-01-17,4,0,0,0,3
2023-01-18,2,0,0,0,0
2023-01-19,2,0,0,0,2
2023-01-20,3,3,0,0,3
2023-01-21,4,3,0,2,0
2023-01-22,3,0,0,0,3
2023-01-23,2,0,0,2,2
2023-01-24,100,43,3,36,26
2023-01-25,67,24,0,26,16
2023-01-26,28,12,0,12,8
2023-01-27,23,9,0,7,9
2023-01-28,36,12,0,15,12
2023-01-29,28,11,0,13,12
2023-01-30,14,4,0,6,4
2023-01-31,10,4,0,6,5
2023-02-01,9,3,0,4,3
2023-02-02,7,2,0,4,2
2023-02-03,10,5,0,7,5
2023-02-04,15,5,3,8,9
2023-02-05,18,7,0,6,6
2023-02-06,8,0,0,4,3
2023-02-07,5,4,0,2,2
2023-02-08,4,3,0,3,2
2023-02-09,5,0,0,3,2
2023-02-10,4,2,0,2,3
2023-02-11,7,3,0,4,2
2023-02-12,9,3,0,2,4
2023-02-13,4,0,0,2,2
2023-02-14,3,2,0,0,2
2023-02-15,5,2,0,2,2
2023-02-16,3,2,0,2,2
2023-02-17,4,0,0,3,2
2023-02-18,5,3,0,4,3
2023-02-19,11,5,0,4,3
2023-02-20,7,5,0,4,3
2023-02-21,8,2,0,3,3
2023-02-22,3,3,0,3,3
2023-02-23,4,0,0,2,4
2023-02-24,4,4,0,0,2
2023-02-25,8,4,0,3,6
2023-02-26,14,4,0,5,5
2023-02-27,10,3,0,3,3
2023-02-28,8,3,0,2,3
2023-03-01,6,0,0,2,2
2023-03-02,6,3,0,2,2
2023-03-03,7,3,0,0,4
2023-03-04,14,4,0,4,6
2023-03-05,15,4,0,5,6
2023-03-06,8,4,0,3,3
2023-03-07,7,2,0,4,4
2023-03-08,8,3,0,2,4
2023-03-09,11,4,0,4,4
2023-03-10,20,5,0,6,6
2023-03-11,38,11,0,9,16
