Category: All categories

Day,BARBIE oscar: (Worldwide),AMERICAN FICTION oscar: (Worldwide),ANATOMY OF A FALL oscar: (Worldwide),OPPENHEIMER oscar: (Worldwide),THE HOLDOVERS oscar: (Worldwide)
2023-12-09,0,0,0,3,0
2023-12-10,0,0,0,2,0
2023-12-11,1,0,0,2,0
2023-12-12,0,0,0,2,0
2023-12-13,0,0,0,2,0
2023-12-14,0,0,0,0,0
2023-12-15,2,0,0,0,0
2023-12-16,2,0,0,2,0
2023-12-17,1,0,0,0,0
2023-12-18,1,0,0,0,0
2023-12-19,0,0,0,0,0
2023-12-20,0,0,0,2,0
2023-12-21,1,0,0,0,0
2023-12-22,2,0,0,2,2
2023-12-23,2,0,0,3,0
2023-12-24,2,0,0,3,0
2023-12-25,2,0,0,2,0
2023-12-26,3,0,0,4,0
2023-12-27,2,1,0,2,1
2023-12-28,0,0,0,2,0
2023-12-29,2,2,2,2,1
2023-12-30,0,2,0,2,0
2023-12-31,2,0,0,3,0
2024-01-01,3,0,0,4,2
2024-01-02,1,0,0,3,0
2024-01-03,0,0,0,2,0
2024-01-04,2,0,0,0,0
2024-01-05,2,0,0,2,0
2024-01-06,2,0,1,3,2
2024-01-07,3,2,0,4,1
2024-01-08,7,2,2,14,3
2024-01-09,4,0,2,6,2
2024-01-10,1,0,1,2,1
2024-01-11,2,0,1,3,2
2024-01-12,0,2,0,4,0
2024-01-13,1,2,2,4,1
2024-01-14,2,2,2,4,3
2024-01-15,2,2,2,2,1
2024-01-16,1,0,0,3,0
2024-01-17,0,0,0,2,2
2024-01-18,1,0,0,2,2
2024-01-19,0,0,2,2,1
2024-01-20,2,0,2,4,2
2024-01-21,2,0,4,3,3
2024-01-22,2,0,2,2,1
2024-01-23,53,57,40,30,23
2024-01-24,100,36,30,28,17
2024-01-25,49,17,14,18,11
2024-01-26,41,14,12,12,8
2024-01-27,23,16,14,13,10
2024-01-28,16,16,15,16,13
2024-01-29,7,6,4,6,5
2024-01-30,5,7,5,6,4
2024-01-31,6,5,4,3,2
2024-02-01,8,5,5,4,3
2024-02-02,5,5,5,4,4
2024-02-03,7,12,9,7,7
2024-02-04,5,12,6,9,5
2024-02-05,6,5,5,6,3
2024-02-06,5,4,5,3,2
2024-02-07,3,3,3,3,3
2024-02-08,3,4,3,3,2
2024-02-09,3,5,3,4,3
2024-02-10,4,7,6,5,5
2024-02-11,4,10,8,7,5
2024-02-12,3,3,2,3,2
2024-02-13,3,4,5,4,3
2024-02-14,4,3,3,2,2
2024-02-15,4,4,3,3,3
2024-02-16,3,5,3,4,2
2024-02-17,6,8,5,8,4
2024-02-18,5,9,8,10,6
2024-02-19,4,6,5,8,4
2024-02-20,2,3,3,5,2
2024-02-21,2,3,3,4,2
2024-02-22,3,3,2,3,2
2024-02-23,2,4,3,4,2
2024-02-24,4,7,6,8,4
2024-02-25,5,8,6,10,4
2024-02-26,3,4,3,6,3
2024-02-27,2,4,3,3,2
2024-02-28,2,5,2,3,2
2024-02-29,2,4,3,4,2
2024-03-01,2,4,2,4,3
2024-03-02,3,6,6,7,3
2024-03-03,4,9,6,6,5
2024-03-04,3,7,4,6,3
2024-03-05,3,4,3,4,1
2024-03-06,3,6,4,6,3
2024-03-07,4,4,5,6,4
2024-03-08,6,8,6,8,5
2024-03-09,9,19,17,15,10
